,DATE,DATE_NAME,DATE_CODE,DATE_TYPE,DATE_TYPECODE,DATE_SORTORDER,GEOGRAPHY,GEOGRAPHY_NAME,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,GEOGRAPHY_SORTORDER,C2021_HH_1,C2021_HH_1_NAME,C2021_HH_1_CODE,C2021_HH_1_TYPE,C2021_HH_1_TYPECODE,C2021_HH_1_SORTORDER,MEASURES,MEASURES_NAME,OBS_VALUE,OBS_STATUS,OBS_STATUS_NAME,OBS_CONF,OBS_CONF_NAME,URN,RECORD_OFFSET,RECORD_COUNT
25,2021,2021,2021,date,0,0,629165504,E00021168,E00021168,2021 output areas,150,25,0,Number of households,0,Number of households,1000000,0,20100,Value,174,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165504d0d20100,25,913
26,2021,2021,2021,date,0,0,629165505,E00021169,E00021169,2021 output areas,150,26,0,Number of households,0,Number of households,1000000,0,20100,Value,178,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165505d0d20100,26,913
27,2021,2021,2021,date,0,0,629165506,E00021170,E00021170,2021 output areas,150,27,0,Number of households,0,Number of households,1000000,0,20100,Value,153,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165506d0d20100,27,913
28,2021,2021,2021,date,0,0,629165507,E00021172,E00021172,2021 output areas,150,28,0,Number of households,0,Number of households,1000000,0,20100,Value,120,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165507d0d20100,28,913
29,2021,2021,2021,date,0,0,629165508,E00021173,E00021173,2021 output areas,150,29,0,Number of households,0,Number of households,1000000,0,20100,Value,175,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165508d0d20100,29,913
30,2021,2021,2021,date,0,0,629165509,E00021174,E00021174,2021 output areas,150,30,0,Number of households,0,Number of households,1000000,0,20100,Value,122,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165509d0d20100,30,913
31,2021,2021,2021,date,0,0,629165510,E00021175,E00021175,2021 output areas,150,31,0,Number of households,0,Number of households,1000000,0,20100,Value,170,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165510d0d20100,31,913
32,2021,2021,2021,date,0,0,629165511,E00021176,E00021176,2021 output areas,150,32,0,Number of households,0,Number of households,1000000,0,20100,Value,140,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165511d0d20100,32,913
33,2021,2021,2021,date,0,0,629165512,E00021177,E00021177,2021 output areas,150,33,0,Number of households,0,Number of households,1000000,0,20100,Value,135,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165512d0d20100,33,913
34,2021,2021,2021,date,0,0,629165513,E00021179,E00021179,2021 output areas,150,34,0,Number of households,0,Number of households,1000000,0,20100,Value,129,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165513d0d20100,34,913
